block,neighbourhood,street,jewish_insitute,public_institution,gas_station,banco,car_thefts,month,education,employment_rate
870.0,Once,Cordoba,0.0,1.0,0.0,0.0,0.0,4.0,13.05190658569336,0.9544060230255127
851.0,Once,Tucuman,0.0,0.0,0.0,0.0,0.0,4.0,12.648451805114746,0.9505703449249268
843.0,Once,Lavalle,1.0,0.0,0.0,1.0,0.0,4.0,12.648451805114746,0.9505703449249268
796.0,Once,Pasteur,0.0,0.0,0.0,0.0,0.0,4.0,12.893609046936035,0.9548872113227844
790.0,Once,Azcuenaga,1.0,0.0,0.0,0.0,0.0,4.0,12.893609046936035,0.9548872113227844
789.0,Once,Azcuenaga,0.0,0.0,0.0,0.0,0.0,4.0,12.893609046936035,0.9548872113227844
844.0,Once,Lavalle,1.0,0.0,0.0,0.0,0.0,4.0,12.648451805114746,0.9505703449249268
858.0,Once,Viamonte,0.0,0.0,0.0,1.0,0.0,4.0,12.648451805114746,0.9505703449249268
787.0,Once,Azcuenaga,0.0,0.0,0.0,1.0,0.0,4.0,12.893609046936035,0.9548872113227844
850.0,Once,Tucuman,0.0,0.0,0.0,0.0,0.0,4.0,12.648451805114746,0.9505703449249268
864.0,Once,San Luis,0.0,0.0,0.0,0.0,0.0,4.0,12.300501823425293,0.9517455101013184
871.0,Once,Cordoba,0.0,0.0,0.0,0.0,0.0,4.0,13.05190658569336,0.9544060230255127
857.0,Once,Viamonte,1.0,0.0,0.0,0.0,0.0,4.0,12.648451805114746,0.9505703449249268
795.0,Once,Pasteur,0.0,0.0,0.0,0.0,0.0,4.0,12.893609046936035,0.9548872113227844
788.0,Once,Azcuenaga,0.0,0.0,0.0,1.0,0.0,4.0,12.893609046936035,0.9548872113227844
797.0,Once,Pasteur,1.0,0.0,0.0,0.0,0.0,4.0,12.893609046936035,0.9548872113227844
798.0,Once,Pasteur,0.0,0.0,0.0,0.0,0.0,4.0,12.893609046936035,0.9548872113227844
836.0,Once,Corrientes,0.0,0.0,0.0,1.0,0.0,4.0,13.1868314743042,0.9550827145576477
794.0,Once,Pasteur,0.0,0.0,0.0,0.0,0.0,4.0,12.893609046936035,0.9548872113227844
784.0,Once,Azcuenaga,0.0,0.0,0.0,0.0,0.0,4.0,12.893609046936035,0.9548872113227844
814.0,Once,Tte. Gral. Peron,0.0,0.0,0.0,0.0,0.0,4.0,12.77103042602539,0.9528265595436096
808.0,Once,Bartolome Mitre,0.0,0.0,0.0,0.0,0.0,4.0,12.138015747070312,0.9448065161705017
835.0,Once,Corrientes,0.0,0.0,0.0,1.0,0.0,4.0,13.1868314743042,0.9550827145576477
815.0,Once,Tte. Gral. Peron,1.0,0.0,0.0,0.0,0.25,4.0,12.77103042602539,0.9528265595436096
822.0,Once,Sarmiento,0.0,0.0,0.0,0.0,0.0,4.0,13.1868314743042,0.9550827145576477
800.0,Once,Rivadavia,0.0,1.0,0.0,1.0,0.0,4.0,12.893609046936035,0.9548872113227844
791.0,Once,Pasteur,0.0,0.0,0.0,0.0,0.0,4.0,12.893609046936035,0.9548872113227844
785.0,Once,Azcuenaga,0.0,0.0,0.0,0.0,0.0,4.0,12.893609046936035,0.9548872113227844
799.0,Once,Rivadavia,0.0,0.0,0.0,0.0,0.0,4.0,12.893609046936035,0.9548872113227844
793.0,Once,Pasteur,0.0,0.0,0.0,0.0,0.0,4.0,12.893609046936035,0.9548872113227844
786.0,Once,Azcuenaga,0.0,0.0,0.0,1.0,0.0,4.0,12.893609046936035,0.9548872113227844
783.0,Once,Azcuenaga,0.0,0.0,0.0,0.0,0.0,4.0,12.701583862304688,0.9546247124671936
823.0,Once,Sarmiento,0.0,0.0,0.0,0.0,1.0,4.0,13.1868314743042,0.9550827145576477
792.0,Once,Pasteur,0.0,0.0,0.0,0.0,0.0,4.0,12.893609046936035,0.9548872113227844
807.0,Once,Bartolome Mitre,0.0,0.0,0.0,0.0,0.0,4.0,12.893609046936035,0.9548872113227844
781.0,Once,Larrea,0.0,0.0,0.0,0.0,0.0,4.0,12.216336250305176,0.9541666507720947
780.0,Once,Larrea,0.0,0.0,0.0,0.0,0.0,4.0,12.216336250305176,0.9541666507720947
782.0,Once,Larrea,0.0,0.0,0.0,0.0,0.0,4.0,12.701583862304688,0.9546247124671936
779.0,Once,Larrea,0.0,0.0,0.0,0.0,0.0,4.0,12.216336250305176,0.9541666507720947
778.0,Once,Larrea,0.0,0.0,0.0,1.0,0.0,4.0,12.216336250305176,0.9541666507720947
774.0,Once,Larrea,0.0,0.0,0.0,1.0,0.0,4.0,12.216336250305176,0.9541666507720947
776.0,Once,Larrea,0.0,0.0,0.0,0.0,0.25,4.0,12.216336250305176,0.9541666507720947
777.0,Once,Larrea,0.0,0.0,0.0,0.0,0.0,4.0,12.216336250305176,0.9541666507720947
775.0,Once,Larrea,0.0,0.0,0.0,0.0,0.25,4.0,12.216336250305176,0.9541666507720947
701.0,V. Crespo,Aguirre,0.0,0.0,0.0,0.0,0.0,4.0,11.839622497558594,0.9515738487243652
699.0,V. Crespo,Aguirre,0.0,0.0,0.0,0.0,0.0,4.0,11.585578918457031,0.9525066018104553
541.0,V. Crespo,Lavalleja,0.0,0.0,0.0,0.0,1.0,4.0,9.721518516540527,0.9285714030265808
687.0,V. Crespo,Velasco,0.0,0.0,0.0,0.0,0.0,4.0,11.321651458740234,0.9536231756210327
689.0,V. Crespo,Velasco,0.0,0.0,0.0,0.0,0.0,4.0,11.321651458740234,0.9536231756210327
698.0,V. Crespo,Aguirre,0.0,0.0,0.0,0.0,0.0,4.0,11.585578918457031,0.9525066018104553
688.0,V. Crespo,Velasco,0.0,0.0,0.0,0.0,0.0,4.0,11.321651458740234,0.9536231756210327
700.0,V. Crespo,Aguirre,0.0,0.0,0.0,0.0,1.0,4.0,11.585578918457031,0.9525066018104553
534.0,V. Crespo,Julian Alvarez,0.0,0.0,0.0,0.0,0.0,4.0,9.721518516540527,0.9285714030265808
540.0,V. Crespo,Lavalleja,0.0,0.0,0.0,0.0,0.0,4.0,9.721518516540527,0.9285714030265808
546.0,V. Crespo,Frias,0.0,0.0,0.0,0.0,1.0,4.0,9.721518516540527,0.9285714030265808
679.0,V. Crespo,Vera,0.0,0.0,0.0,0.0,0.0,4.0,11.321651458740234,0.9536231756210327
535.0,V. Crespo,Julian Alvarez,0.0,0.0,0.0,0.0,0.0,4.0,9.721518516540527,0.9285714030265808
859.0,Once,Viamonte,0.0,0.0,0.0,0.0,0.0,4.0,12.648451805114746,0.9505703449249268
863.0,Once,Viamonte,0.0,0.0,0.0,0.0,0.0,4.0,12.300501823425293,0.9517455101013184
874.0,Once,Cordoba,0.0,0.0,0.0,0.0,0.0,4.0,13.028959274291992,0.9472478032112122
771.0,Once,Paso,0.0,0.0,0.0,1.0,0.0,4.0,12.216336250305176,0.9541666507720947
758.0,Once,Pueyrredon,0.0,1.0,0.0,0.0,0.0,4.0,12.216336250305176,0.9541666507720947
739.0,Once,Ecuador,0.0,0.0,0.0,0.0,1.0,4.0,12.216336250305176,0.9541666507720947
759.0,Once,Pueyrredon,0.0,0.0,0.0,0.0,0.0,4.0,12.216336250305176,0.9541666507720947
868.0,Once,San Luis,0.0,0.0,0.0,0.0,1.0,4.0,13.05190658569336,0.9544060230255127
866.0,Once,San Luis,0.0,0.0,0.0,0.0,0.0,4.0,12.300501823425293,0.9517455101013184
747.0,Once,Boulogne Sur Mer,0.0,0.0,0.0,0.0,0.0,4.0,12.216336250305176,0.9541666507720947
773.0,Once,Paso,1.0,0.0,0.0,0.0,0.0,4.0,12.216336250305176,0.9541666507720947
741.0,Once,Ecuador,1.0,0.0,1.0,0.0,0.25,4.0,12.216336250305176,0.9541666507720947
731.0,Once,Jean Jaures,0.0,0.0,1.0,0.0,0.0,4.0,12.027979850769043,0.95287024974823
748.0,Once,Boulogne Sur Mer,0.0,0.0,0.0,0.0,0.0,4.0,12.216336250305176,0.9541666507720947
865.0,Once,San Luis,0.0,0.0,0.0,0.0,0.0,4.0,12.300501823425293,0.9517455101013184
860.0,Once,Viamonte,0.0,0.0,0.0,0.0,0.0,4.0,12.648451805114746,0.9505703449249268
772.0,Once,Paso,0.0,0.0,0.0,0.0,0.0,4.0,12.216336250305176,0.9541666507720947
